Calendar Year,County,Number of Retail Locations,Non-Ethanol Gas Sales (in gallons),Ethanol Gas Sales (in gallons),Clear and Dyed Diesel Sales (in gallons),Biodiesel Sales (in gallons),Biofuel Distribution Percentage
2012,TAMA,19,1247825,5672438,3879700,22351,8.36
2012,TAYLOR,7,383788,1991594,1333320,0,9.17
2012,UNION,13,798652,4929075,1200698,0,8.61
2012,VAN BUREN,9,480380,2149270,722050,76885,8.37
2012,WAPELLO,26,5992013,23701538,7694074,3719248,8.98
2012,WARREN,28,2896628,20157670,1140767,1278944,9.49
2012,WASHINGTON,23,2499966,10278566,4056953,9747556,14.25
2012,WAYNE,9,395895,1966067,138655,596435,8.98
2012,WEBSTER,36,2061402,15814277,3497435,100661,9.26
2012,WINNEBAGO,18,1045676,4286587,2302093,17350,8.51
2012,WINNESHIEK,19,1810048,7993616,5111052,233805,8.28
2012,WOODBURY,61,11565782,36811550,7736870,1840817,8.26
2012,WORTH,9,1402286,3938226,684761,259865,8
2012,WRIGHT,23,1137896,4829875,2975180,165688,7.57
2016,ADAIR,11,1539644,7734739,3674613,478950,10.46
2016,ADAMS,6,221777,1404397,369999,71899,9.54
2016,ALLAMAKEE,19,1382114,6092862,5269089,647068,8.93
2016,AUDUBON,6,202186,2280469,1811040,634023,10.62
2016,BENTON,22,1236679,8786703,6608616,110807,9.58
2016,BLACK HAWK,64,9060944,46271506,7152729,15331809,12.24
2016,BOONE,12,1342145,9958148,3180374,376125,9.2
2016,BREMER,17,2114712,10423151,2594216,887075,9.17
2016,BUCHANAN,16,1710098,8873820,13412979,693975,8.72
2016,BUENA VISTA,22,1221431,9870579,5255641,579977,10.47
2016,BUTLER,13,956835,5858925,1256941,138869,9.18
2016,CALHOUN,16,401481,4690197,4239739,343760,11.36
2016,CARROLL,25,1654381,9257730,10135985,470759,10.07
2016,CASS,14,868395,7189201,4018846,139484,9.44
2016,CEDAR,18,1602067,9087086,4046705,11480989,23.77
2016,CERRO GORDO,34,5235046,29679367,4807094,16519353,15.38
2016,CHEROKEE,13,671202,5231699,1502262,712237,11.26
2016,CHICKASAW,12,1397673,5979407,4828174,3368082,12.89
2016,CLARKE,10,1472947,6667529,3800535,7352984,20.86
2016,CLAY,24,1266357,7034539,3727454,433586,9.95
2016,CLAYTON,25,1581114,7292421,1483029,489933,9.09
2016,CLINTON,24,2128811,19677151,8410350,2168761,10.67
2016,CRAWFORD,11,748996,5083907,1774160,638839,9.87
2016,DALLAS,37,6679298,37092867,9004841,4349358,10.06
2016,DAVIS,7,324980,2270609,1162786,718049,10.17
2016,DECATUR,6,358989,2410992,322210,232634,9.99
2016,DELAWARE,13,1014744,6497660,1986620,262067,9.56
2016,DES MOINES,21,3133770,14181875,2027388,27716,8.37
2016,DICKINSON,22,1793327,7717353,1460668,25285,8.65
2016,DUBUQUE,61,13643561,85619673,15205863,20265147,10.18
2016,EMMET,8,492679,3525775,1127420,1016957,11.8
2016,FAYETTE,20,1845535,7022970,14785996,185886,8.37
2016,FLOYD,15,1235580,6784642,3875719,1606578,10.47
2016,FRANKLIN,11,476813,3580764,3030668,202938,10.1
2016,FREMONT,8,373687,4656500,1098401,11276770,40.67
2016,GREENE,11,320205,4414116,1688185,128092,9.6
2016,GRUNDY,14,798672,6621546,5542769,1720284,10.34
2016,GUTHRIE,13,602738,5130010,1340136,8298995,29.76
2016,HAMILTON,20,1076294,8109532,4881357,2677371,13.38
2016,HANCOCK,11,540086,2837554,3686616,123744,8.62
2016,HARDIN,22,816053,7721660,6640374,52967,9.12
2016,HARRISON,19,876192,8074712,4843421,878214,9.98
2016,HENRY,16,1137288,17753407,925977,10156299,16.66
2016,HOWARD,11,652857,3915069,2594627,967603,11.21
2016,HUMBOLDT,15,766055,4280690,5108836,344164,9.85
2016,IDA,12,400159,3350486,2510967,0,10.59
2016,IOWA,89,5781755,30716676,19431252,10748098,12.45
2016,JACKSON,14,1132828,6979356,4199171,550577,9.93
2016,JASPER,32,2109667,16619520,4888252,13253219,18.74
2016,JEFFERSON,16,952717,5371277,1703327,1119784,11.9
2016,JOHNSON,59,8283557,45739513,3101463,6476225,10.53
2016,JONES,11,1145664,7205546,1553435,1280013,9.24
2016,KEOKUK,9,499023,3959770,1683848,725746,11.9
2016,KOSSUTH,16,924355,6562333,8633964,354680,9.88
2016,LEE,21,2077852,12490398,1597497,1619112,9.27
2016,LINN,90,14613519,85822617,18560086,5996964,10.09
2016,LOUISA,9,561418,4605290,1169043,254678,9.95
2016,LUCAS,8,408462,2662970,311869,2048483,13.27
2016,LYON,12,942449,5748507,1898103,990308,10.59
2016,MADISON,10,906381,7258538,6634634,1122143,10.75
2016,MAHASKA,15,756986,9110945,2296337,1627614,10.55
2016,MARION,22,1741381,13258954,6044014,396801,10.36
2016,MARSHALL,25,2658499,14691059,4329669,1149207,8.84
2016,MILLS,10,695349,5003670,2410842,148010,9.19
2016,MITCHELL,10,627772,3390887,671091,170109,10.72
2016,MONONA,12,852980,5329177,1549274,2245388,15.04
2016,MONTGOMERY,16,1404914,5106459,3249788,529767,9.77
2016,MUSCATINE,19,2405183,12891582,1857756,300652,9.83
2016,O'BRIEN,19,849490,5508349,2292102,263998,9.25
2016,OSCEOLA,8,232318,2357126,2653192,19163,10.14
2016,OTHER,18,825826,7762319,2641871,412146,9.45
2016,PAGE,7,566751,4940807,517497,73811,9.07
2016,PALO ALTO,10,439559,4022822,3051720,130239,9.96
2016,PLYMOUTH,18,2583928,10104033,16788142,1265514,8.9
2016,POCAHONTAS,10,421328,3484561,13712337,0,9.05
2016,POLK,187,35661404,193718423,36180463,44150831,11.98
2016,POTTAWATTAMIE,58,8020959,52506283,12497683,35741534,17.31
2016,POWESHIEK,18,1506130,12393839,6029642,15808593,26.11
2016,RINGGOLD,7,169920,1419019,371453,543110,13.74
2016,SAC,16,598323,5146805,1274939,669327,12.47
2016,SCOTT,80,5751468,72981287,10755463,58475128,19.25
2016,SHELBY,13,522926,4543151,3707386,182080,9.87
2016,SIOUX,34,3177752,12645987,15523883,1417358,9.22
2016,STORY,43,5263777,35466153,2734209,3149732,10.4
2016,TAMA,16,676197,5763753,3230102,16017,9.05
2016,TAYLOR,6,211867,1803114,289082,522841,10.47
2016,UNION,10,504893,4494664,803679,755407,10.74
2016,VAN BUREN,8,288246,2249833,769902,284935,9.72
2016,WAPELLO,29,2063474,14381080,2316461,3354751,11.88
2016,WARREN,30,2979834,23263107,1789958,1722403,10.17
2016,WASHINTON,21,1479783,9769155,2585990,8155025,17.13
2016,WAYNE,9,460021,2225063,1323951,619894,9.51
2016,WEBSTER,34,1668432,15688045,3090555,625979,9.95
2016,WINNEBAGO,15,580027,4142445,2627373,370812,10.85
2016,WINNESHIEK,15,1460562,7565494,2083066,528362,9.51
2016,WOODBURY,44,7563056,40652284,11009038,17283779,13.43
2016,WORTH,10,442846,4920045,1124681,468387,10.23
2016,WRIGHT,17,719337,4992396,1999572,82160,9.12
