Calendar Year,County,Number of Retail Locations,Non-Ethanol Gas Sales (in gallons),Ethanol Gas Sales (in gallons),Clear and Dyed Diesel Sales (in gallons),Biodiesel Sales (in gallons),Biofuel Distribution Percentage
2013,BUTLER,12,996515,5132022,959080,1224802,9.26
2013,CALHOUN,11,689001,4737016,2684438,0,11.76
2013,CARROLL,24,1962491,7573010,8642857,85448,8.73
2013,CASS,18,1130883,7693066,4032158,116206,9.05
2013,CEDAR,19,1611468,7925744,4486620,13071750,9.38
2013,CERRO GORDO,31,5444824,24829867,3246410,16654758,21.1
2013,CHEROKEE,14,923533,4244669,2526267,300965,14.05
2013,CHICKASAW,12,1444738,5717920,4392432,1906479,9.32
2013,CLARKE,7,1372638,5476120,1466380,8878211,10.32
2013,CLAY,25,1090044,6876522,2509267,457427,20.22
2013,CLAYTON,22,1947281,7165441,1580535,284528,10.69
2013,CLINTON,28,3098435,19905060,9028227,121735,8.17
2013,CRAWFORD,15,1397619,5732766,4783589,36650,8.88
2013,DALLAS,36,6218779,31641888,5120648,3685230,9.44
2013,DAVIS,5,388554,2030162,446424,0,9.63
2013,DECATUR,5,824474,2255201,264056,156326,8.39
2013,DELAWARE,13,1069016,5606423,2229581,0,9
2013,DES MOINES,27,3123038,13486045,1801868,38701,8.97
2013,DICKINSON,28,2479063,7471699,2695875,223406,8.13
2013,DUBUQUE,55,10670984,30532182,8890282,2087830,8.47
2013,EMMET,10,619157,3583411,1181012,1141382,8.07
2013,FAYETTE,18,1040802,6312854,17071507,80642,10.77
2013,FLOYD,17,1755468,5663596,4346364,242344,9.34
2013,FRANKLIN,15,850901,5005663,4262010,777870,8.42
2013,FREMONT,8,707702,4072297,1176000,9675061,9.87
2013,GREENE,10,456257,3685357,1211214,89798,27.85
2013,GRUNDY,15,1135417,5621804,5533353,2022588,9.09
2013,GUTHRIE,11,723973,4750699,1188591,8340494,8.63
2013,HAMILTON,18,1376490,6679232,3343880,3192385,16.95
2013,HANCOCK,12,733096,3515035,3853556,69442,11.78
2013,HARDIN,20,1184149,7255440,5151734,334245,8.8
2013,HARRISON,18,1351097,5853375,3520710,103749,8.82
2013,HENRY,16,1721823,9037938,739264,217466,8.71
2013,HOWARD,13,837042,4665182,3709886,798601,8.64
2013,HUMBOLDT,15,783752,4115397,3577708,24328,10.96
2013,IDA,12,604480,2817645,2042675,914880,8.41
2013,IOWA,16,1884893,6333893,4174091,625737,10.12
2013,JACKSON,20,1279470,6760832,3256456,50417,8.53
2013,JASPER,29,2943408,16114198,3351715,15376591,8.54
2013,JEFFERSON,15,1211705,4220567,1663459,1161752,15.42
2013,JOHNSON,57,9052021,38848448,4947062,5568950,10.85
2013,JONES,11,1170119,6368638,2264405,1122,9.77
2013,KEOKUK,12,748499,4293549,1413410,1385519,8.45
2013,KOSSUTH,19,1473893,7766008,11980132,6167125,11.44
2013,LEE,26,3088426,14714657,4940697,509512,12.63
2013,LINN,89,16095788,78522584,10154292,5074184,8.45
2013,LOUISA,8,562226,3757957,663898,241268,9.56
2013,LUCAS,10,698273,3072648,223647,2102922,9.6
2013,LYON,13,1255451,4670415,2987109,46407,11.27
2013,MADISON,11,1350772,7058276,6628224,1343939,8.57
2013,MAHASKA,16,1103673,9214026,3016397,2964623,10.2
2013,MARION,23,1609269,12729095,3026030,251475,11.38
2013,MARSHALL,26,2691363,11748586,1565311,1094911,9.26
2013,MILLS,10,1099372,4215277,2052354,675495,8.52
2013,MITCHELL,12,915362,3473534,352132,167809,8.57
2013,MONONA,10,1275044,4157208,3283129,1281363,9.21
2013,MONROE,6,427688,3015190,121000,0,11.32
2013,MONTGOMERY,12,878628,3796289,1512959,0,8.76
2013,MUSCATINE,20,2108242,13635990,2718418,357949,9.56
2013,O'BRIEN,23,1520830,5928896,3023218,185973,10.06
2013,OSCEOLA,7,434403,2041939,2489462,44721,8.87
2013,PAGE,9,823587,5363183,681903,478158,9.21
2013,PALO ALTO,13,799763,3612569,2592547,174107,9.35
2013,PLYMOUTH,21,2892389,8201595,4943780,63713,9.12
2013,POCAHONTAS,9,461218,2749985,5693164,71887,7.84
2013,POLK,188,42447471,166859941,17734427,65078180,8.78
2013,POTTAWATTAMIE,66,13436163,51966980,9199439,29032160,11.1
2013,POWESHIEK,19,3481194,10488431,8594429,14734577,12.41
2013,RINGGOLD,5,191769,1132064,1610049,66990,18.36
2013,SAC,16,918130,4595729,2353069,0,8.82
2013,SCOTT,86,8551677,89366399,6344185,54340336,8.33
